Device,timestamp,ax,ay,az,gx,gy,gz,activity
B, 834195, -0.921021, -0.289307, -0.250732, 1.037598, 6.042482, -4.882813,falling
A, 1220650, -1.014038, 0.036621, 0.026978, 2.502441, 5.859377, 2.990724,falling
B, 834215, -0.921021, -0.299805, -0.247437, 0.915528, 6.713869, -4.394531,falling
A, 1220670, -1.019653, 0.016235, 0.016602, 2.197266, 5.798342, 3.845216,falling
B, 834235, -0.914673, -0.313843, -0.253540, 0.122070, 7.507326, -3.723145,falling
A, 1220690, -1.020630, 0.013184, -0.007935, 2.197266, 5.554201, 4.882813,falling
B, 834255, -0.908447, -0.327393, -0.262329, 1.342773, 8.544922, -2.380371,falling
A, 1220710, -1.025635, 0.011230, -0.058350, 4.638672, 4.333496, 6.225588,falling
B, 834275, -0.905396, -0.336304, -0.265625, 2.258301, 9.399414, -1.098633,falling
A, 1220730, -1.024536, 0.014893, -0.071655, 5.981447, 3.540040, 6.958010,falling
B, 834295, -0.902344, -0.337158, -0.269287, 3.356935, 10.192871, 0.244141,falling
A, 1220750, -1.020996, 0.024658, -0.073120, 7.202150, 2.807618, 7.690432,falling
B, 834315, -0.898926, -0.335571, -0.276001, 3.967286, 10.925293, 1.464844,falling
A, 1220770, -1.018921, 0.039673, -0.083252, 8.483887, 1.892090, 8.422852,falling
B, 834335, -0.894165, -0.329468, -0.293457, 5.432129, 11.535648, 2.929688,falling
A, 1220790, -1.009644, 0.087524, -0.112305, 11.596684, 0.549316, 8.911133,falling
B, 834355, -0.887085, -0.321045, -0.320313, 10.314941, 13.000492, 5.737307,falling
A, 1220810, -1.004761, 0.121704, -0.138550, 16.906738, -1.586915, 8.850098,falling
B, 834375, -0.871094, -0.341675, -0.350952, 12.634281, 13.610844, 8.239746,falling
B, 834395, -0.864502, -0.347656, -0.361694, 9.643555, 12.390141, 8.117676,falling
B, 834415, -0.859741, -0.341064, -0.380981, 6.164553, 10.864258, 7.812502,falling
B, 834435, -0.855347, -0.323853, -0.403931, 1.953125, 8.789063, 6.896975,falling
