device,ax_max,ax_min,ax_mean,ay_max,ay_min,ay_mean,az_max,az_min,az_mean,gx_max,gx_min,gx_mean,gy_max,gy_min,gy_mean,gz_max,gz_min,gz_mean,activity
B, 0.058960, -0.080566, -0.007923, 0.160400, -0.058960, 0.024776, 0.097168, -0.039063, 0.023194, 17.578125, -18.188477, -0.878906, 17.150879, -14.892578, 0.166016, 14.282227, -10.620117, -0.308024,jerking
A, 0.022339, -0.025513, -0.002122, 0.120361, -0.193237, -0.003420, 0.126831, -0.100952, 0.011392, 14.709476, -12.207035, -0.646159, 3.662108, -3.662109, 0.093587, 5.554199, -7.080078, -0.138346,jerking
B, 0.058960, -0.054810, -0.002436, 0.105713, -0.058960, 0.006277, 0.079102, -0.039063, 0.009504, 12.634277, -16.906738, -0.258382, 17.150879, -6.896975, 1.225179, 5.249023, -10.620117, -1.213785,jerking
A, 0.022339, -0.024292, 0.000019, 0.118652, -0.172363, 0.002550, 0.083740, -0.100952, -0.000373, 14.709476, -4.089355, 0.340169, 3.662108, -1.403809, 0.359701, 5.554199, -3.784181, 0.030518,jerking
B, 0.029907, -0.036621, 0.000267, 0.047974, -0.058960, -0.000109, 0.041382, -0.039063, -0.000019, 15.991215, -16.906738, -0.205485, 3.967287, -5.554199, -0.074056, 5.249023, -2.624512, 0.087891,jerking
A, 0.804321, -0.340576, 0.019062, 3.958984, -3.725830, 0.029322, 2.264526, -1.116821, 0.076234, 162.292480, -264.160156, 1.338704, 11.596680, -50.109879, -2.229818, 101.013214, -31.738289, 1.636149,jerking
B, 0.016846, -0.036621, -0.001213, 0.047729, -0.032471, 0.000233, 0.041382, -0.024658, 0.000924, 15.991215, -16.906738, 0.122070, 5.737305, -15.319828, 0.451660, 1.342773, -2.441406, -0.284017,jerking
A, 0.804321, -0.807129, -0.000074, 3.958984, -3.967407, -0.009417, 2.264526, -2.234009, 0.025190, 263.122559, -264.160156, 0.217693, 54.626480, -50.109879, 1.575521, 101.013214, -106.689484, -2.301839,jerking
B, 0.036499, -0.012939, 0.005125, 0.024414, -0.049927, -0.008587, 0.012939, -0.080688, -0.017506, 15.991215, -15.686039, -0.097656, 14.465336, -15.319828, 0.618083, 1.586915, -2.441406, -0.247396,jerking
A, 0.804321, -0.807129, -0.000396, 3.958984, -3.967407, -0.018382, 2.264526, -2.234009, 0.009484, 263.122559, -264.160156, -0.192057, 54.626480, -50.109879, 0.486246, 101.013214, -106.689484, -0.058594,jerking
