Device,timestamp,ax,ay,az,gx,gy,gz,activity
A, 583802, -0.979126, 0.207031, 0.002808, -0.488281, -1.403809, -1.159668,riding
B, 197355, -0.925415, -0.069092, -0.360352, -0.122070, -0.671387, -0.793457,riding
A, 583822, -0.979492, 0.203247, 0.003784, -0.122070, -1.464844, -1.220703,riding
B, 197375, -0.925415, -0.073364, -0.359009, 0.000000, -0.671387, -0.732422,riding
A, 583842, -0.981079, 0.201538, 0.002686, -0.549316, -1.342773, -1.159668,riding
B, 197395, -0.925171, -0.072510, -0.359741, -0.305176, -0.732422, -0.854492,riding
A, 583862, -0.978149, 0.208984, 0.003174, -0.427246, -1.403809, -1.159668,riding
B, 197415, -0.925171, -0.069946, -0.362427, -0.122070, -0.793457, -0.793457,riding
A, 583882, -0.979736, 0.207764, 0.000122, -0.122070, -1.464844, -1.342773,riding
B, 197435, -0.924438, -0.073364, -0.359985, 0.122070, -0.732422, -0.671387,riding
A, 583902, -0.981079, 0.198853, -0.000366, -0.183106, -1.464844, -1.281738,riding
B, 197455, -0.926880, -0.073486, -0.355713, -0.122070, -0.793457, -0.732422,riding
A, 583922, -0.982300, 0.197266, 0.001587, -0.427246, -1.403809, -1.220703,riding
B, 197475, -0.926392, -0.070679, -0.355469, -0.183106, -0.793457, -0.732422,riding
A, 583942, -0.980713, 0.201172, 0.001343, -0.549316, -1.464844, -1.159668,riding
B, 197495, -0.925171, -0.072876, -0.360107, -0.244141, -0.732422, -0.732422,riding
A, 583962, -0.979248, 0.208984, -0.001099, -0.366211, -1.464844, -1.220703,riding
B, 197515, -0.924438, -0.072876, -0.362183, -0.122070, -0.854492, -0.671387,riding
A, 583982, -0.978638, 0.208984, 0.003174, -0.244141, -1.525879, -1.342773,riding
B, 197535, -0.924927, -0.069458, -0.360840, -0.122070, -0.854492, -0.671387,riding
A, 584002, -0.980591, 0.198486, 0.003784, -0.061035, -1.525879, -1.281738,riding
B, 197555, -0.926392, -0.071167, -0.355835, 0.122070, -0.854492, -0.610352,riding
A, 584022, -0.981201, 0.200806, 0.004150, -0.610352, -1.464844, -1.220703,riding
B, 197575, -0.926880, -0.071655, -0.357056, -0.305176, -0.854492, -0.793457,riding
A, 584042, -0.979614, 0.207031, 0.005859, -0.305176, -1.525879, -1.342773,riding
B, 197595, -0.925537, -0.068848, -0.359375, -0.122070, -0.915528, -0.671387,riding
A, 584062, -0.979004, 0.208618, 0.006592, -0.488281, -1.403809, -1.342773,riding
B, 197615, -0.924561, -0.068604, -0.361206, -0.183106, -0.915528, -0.793457,riding
A, 584082, -0.979004, 0.211304, 0.001343, -0.122070, -1.525879, -1.464844,riding
B, 197635, -0.925415, -0.071899, -0.360229, 0.244141, -0.854492, -0.549316,riding
A, 584102, -0.981323, 0.197876, 0.001221, -0.244141, -1.525879, -1.464844,riding
B, 197655, -0.926514, -0.073853, -0.356201, -0.122070, -0.976563, -0.671387,riding
A, 584122, -0.981934, 0.197144, 0.004761, -0.366211, -1.525879, -1.403809,riding
B, 197675, -0.926514, -0.069214, -0.354370, -0.061035, -0.915528, -0.671387,riding
A, 584142, -0.981201, 0.196777, 0.008423, -0.305176, -1.525879, -1.342773,riding
B, 197695, -0.928589, -0.068726, -0.353882, -0.122070, -0.915528, -0.732422,riding
A, 584162, -0.982544, 0.189697, 0.006470, -0.122070, -1.464844, -1.342773,riding
B, 197715, -0.928223, -0.069580, -0.352173, 0.061035, -0.854492, -0.671387,riding
A, 584182, -0.982788, 0.187378, 0.003784, -0.366211, -1.464844, -1.281738,riding
B, 197735, -0.928345, -0.071899, -0.351807, -0.122070, -0.793457, -0.793457,riding
A, 584202, -0.982666, 0.191162, -0.000488, -0.366211, -1.403809, -1.159668,riding
B, 197755, -0.926758, -0.072266, -0.353271, -0.122070, -0.732422, -0.732422,riding
A, 584222, -0.981201, 0.197266, -0.004395, -0.427246, -1.464844, -1.098633,riding
B, 197775, -0.926392, -0.074707, -0.356079, -0.183106, -0.732422, -0.732422,riding
A, 584242, -0.980103, 0.201538, -0.003418, -0.549316, -1.525879, -1.098633,riding
B, 197795, -0.926392, -0.073975, -0.357422, -0.305176, -0.732422, -0.671387,riding
A, 584262, -0.979492, 0.209106, -0.000610, -0.549316, -1.586915, -1.098633,riding
B, 197815, -0.923950, -0.072632, -0.360352, -0.305176, -0.793457, -0.671387,riding
A, 584282, -0.976929, 0.217896, -0.000732, -0.549316, -1.525879, -1.159668,riding
B, 197835, -0.922974, -0.072021, -0.363647, -0.305176, -0.915528, -0.671387,riding
A, 584302, -0.973633, 0.230591, 0.002686, -0.732422, -1.525879, -1.281738,riding
B, 197855, -0.919556, -0.067993, -0.374268, -0.305176, -1.159668, -0.671387,riding
A, 584322, -0.972900, 0.243896, 0.003540, -0.366211, -1.586915, -1.647950,riding
B, 197875, -0.917969, -0.071289, -0.376099, 0.061035, -1.342773, -0.488281,riding
A, 584342, -0.972656, 0.242310, -0.004150, -0.061035, -1.708985, -2.075195,riding
B, 197895, -0.917725, -0.072144, -0.374634, 0.122070, -1.586915, -0.488281,riding
A, 584362, -0.975220, 0.228638, -0.004639, 0.244141, -1.770020, -2.441406,riding
B, 197915, -0.922363, -0.072388, -0.365845, 0.488281, -1.647950, -0.305176,riding
A, 584382, -0.979736, 0.211182, -0.006836, 0.183106, -1.892090, -2.502441,riding
B, 197935, -0.924805, -0.076416, -0.359375, 0.366211, -1.831055, -0.244141,riding
A, 584402, -0.980225, 0.203613, -0.007568, -0.122070, -1.892090, -2.502441,riding
B, 197955, -0.926025, -0.076782, -0.357422, 0.122070, -1.892090, -0.305176,riding
A, 584422, -0.980713, 0.199829, -0.003540, -0.122070, -1.953125, -2.502441,riding
B, 197975, -0.926270, -0.072998, -0.355103, 0.061035, -1.892090, -0.244141,riding
A, 584442, -0.981934, 0.192383, -0.003662, 0.122070, -2.075195, -2.502441,riding
B, 197995, -0.928345, -0.073975, -0.351074, 0.244141, -1.892090, -0.122070,riding
A, 584462, -0.983398, 0.183350, 0.000366, -0.305176, -2.014160, -2.441406,riding
B, 198015, -0.929688, -0.073242, -0.347412, -0.122070, -1.892090, -0.183106,riding
A, 584482, -0.983643, 0.184082, -0.000732, -0.183106, -2.075195, -2.319336,riding
B, 198035, -0.929688, -0.071899, -0.346680, 0.122070, -1.770020, -0.061035,riding
A, 584502, -0.984009, 0.180664, 0.001953, -0.244141, -2.075195, -2.258301,riding
B, 198055, -0.931030, -0.071289, -0.344727, -0.061035, -1.770020, -0.122070,riding
A, 584522, -0.983887, 0.180420, 0.010132, -0.488281, -2.075195, -2.075195,riding
B, 198075, -0.930908, -0.068115, -0.345703, -0.244141, -1.708985, -0.183106,riding
A, 584542, -0.981445, 0.192139, 0.010376, -0.549316, -2.014160, -2.014160,riding
B, 198095, -0.929810, -0.065552, -0.349365, -0.366211, -1.708985, -0.244141,riding
A, 584562, -0.981445, 0.194214, 0.010376, -0.244141, -2.075195, -2.136230,riding
B, 198115, -0.928223, -0.067383, -0.350586, -0.122070, -1.586915, -0.183106,riding
A, 584582, -0.982178, 0.193115, 0.007324, -0.122070, -2.014160, -2.075195,riding
B, 198135, -0.928955, -0.067871, -0.348999, 0.183106, -1.586915, -0.061035,riding
A, 584602, -0.984009, 0.186035, 0.005005, 0.061035, -2.075195, -2.075195,riding
B, 198155, -0.930176, -0.069946, -0.346069, 0.061035, -1.586915, -0.122070,riding
A, 584622, -0.984985, 0.182983, 0.005371, -0.366211, -2.075195, -1.953125,riding
B, 198175, -0.931152, -0.068726, -0.344238, -0.122070, -1.525879, -0.122070,riding
A, 584642, -0.983521, 0.182007, 0.002197, 0.061035, -2.136230, -1.953125,riding
B, 198195, -0.930542, -0.072266, -0.344849, 0.000000, -1.464844, -0.061035,riding
A, 584662, -0.982422, 0.189087, 0.002075, -0.610352, -2.014160, -1.831055,riding
B, 198215, -0.929565, -0.068726, -0.348145, -0.305176, -1.464844, -0.183106,riding
A, 584682, -0.982910, 0.185547, 0.009155, 0.122070, -2.197266, -1.953125,riding
B, 198235, -0.929199, -0.066772, -0.347900, 0.183106, -1.403809, 0.061035,riding
A, 584702, -0.984497, 0.177490, 0.013550, -0.427246, -2.075195, -1.831055,riding
B, 198255, -0.932495, -0.064697, -0.340698, -0.244141, -1.342773, -0.122070,riding
A, 584722, -0.985107, 0.173706, 0.012695, -0.244141, -2.136230, -1.770020,riding
B, 198275, -0.934692, -0.065308, -0.337891, -0.061035, -1.220703, -0.061035,riding
A, 584742, -0.986816, 0.163452, 0.011597, -0.061035, -2.136230, -1.647950,riding
B, 198295, -0.936035, -0.065552, -0.333252, 0.122070, -1.037598, 0.000000,riding
A, 584762, -0.989136, 0.151611, 0.015259, -0.183106, -2.075195, -1.464844,riding
B, 198315, -0.935547, -0.065186, -0.330688, -0.061035, -0.854492, -0.122070,riding
A, 584782, -0.989258, 0.150146, 0.015991, -0.366211, -2.014160, -1.159668,riding
B, 198335, -0.936035, -0.063477, -0.329956, -0.244141, -0.671387, -0.244141,riding
A, 584802, -0.990234, 0.146729, 0.018555, -0.366211, -1.953125, -0.915528,riding
